PROPERTY_ID,ZIP,PRICE,year,quarter,bathrooms,bedrooms,YR_BLT,SQFT
38623545,90621,260000,2009,2,1,3,1903,1260
38623554,90621,242000,2002,3,3,3,1954,1162
38623555,90621,148000,1992,2,1,2,1956,996
38623555,90621,299000,2003,3,1,2,1956,996
38623556,90621,245000,2003,1,1,2,1927,731
38623556,90621,490000,2006,4,1,2,1927,731
38623556,90621,235500,2008,4,1,2,1927,731
38623557,90621,134000,1998,1,1,3,1925,994
38623557,90621,155000,2000,2,1,3,1925,994
38623557,90621,295000,2003,3,1,3,1925,994
38623558,90621,145000,1998,1,1,2,1946,913
38623558,90621,190000,2002,1,1,2,1946,913
38623561,90621,144000,1992,4,1,2,1954,900
38623563,90621,325000,2003,4,1,1,1930,460
38623565,90621,133000,1991,2,1,2,1947,626
38623565,90621,462500,2002,4,1,2,1947,626
38623566,90621,225000,2002,1,1,3,1952,1082
38623567,90621,123000,1993,1,1,1,1925,631
38623567,90621,92500,1996,4,1,1,1925,631
38623568,90621,220000,1992,4,1,1,1925,646
38623568,90621,215000,1997,4,1,1,1925,646
38623568,90621,648000,2005,2,1,1,1925,646
38623569,90621,300000,2004,1,1,1,1946,594
38623569,90621,431000,2005,3,1,1,1946,594
38623571,90621,136000,1993,2,1,3,1930,1672
38623571,90621,150000,1996,2,1,3,1930,1672
38623571,90621,169000,1999,4,1,3,1930,1672
38623572,90621,102500,1998,3,1,3,1929,1116
38623572,90621,450000,2005,4,1,3,1929,1116
38623574,90621,159000,1991,4,1,2,1949,866
38623574,90621,159500,2000,2,1,2,1949,866
38623574,90621,382000,2004,4,1,2,1949,866
38623574,90621,500000,2006,3,1,2,1949,866
38623574,90621,360000,2007,4,1,2,1949,866
38623575,90621,168000,1998,3,1,2,1925,710
38623576,90621,525000,2007,1,1,3,1954,770
38623577,90621,170000,1994,3,1,3,1941,1200
38623578,90621,203000,2001,2,1,3,1940,1058
38623578,90621,504000,2005,4,1,3,1940,1058
38623579,90621,129000,1993,2,1,1,1948,840
